DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Bulgaria,2023,227,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2014,315,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2015,355,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2016,370,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2017,317,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2018,384,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2019,393,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2020,347,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2021,367,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2022,374,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Switzerland,2023,381,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2014,30,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2015,31,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2016,41,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2017,33,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2018,36,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2019,33,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2020,30,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2021,73,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2022,56,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Cyprus,2023,57,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2014,1164,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2015,1430,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2016,1635,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2017,1631,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2018,1638,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2019,1740,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2020,1564,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2021,1515,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2022,1611,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Czechia,2023,1707,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2014,3639,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2015,3609,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2016,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2017,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2018,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2019,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2020,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2021,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2022,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Germany,2023,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2014,145,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2015,118,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2016,150,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2017,135,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2018,132,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2019,182,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2020,189,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2021,184,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2022,203,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Denmark,2023,211,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2014,,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2015,153,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2016,177,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2017,140,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2018,122,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2019,112,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2020,97,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2021,101,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2022,102,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Estonia,2023,88,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2014,561,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2015,482,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2016,515,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2017,543,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2018,543,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2019,487,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2020,524,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2021,534,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2022,530,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Greece,2023,496,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2014,4874,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2015,4623,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2016,4349,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2017,4330,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2018,4387,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2019,4336,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2020,3998,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2021,3896,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2022,3940,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Spain,2023,3963,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2014,237,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2015,228,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2016,215,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2017,228,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2018,223,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2019,216,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2020,216,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2021,206,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2022,208,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Finland,2023,225,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2014,2073,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2015,2119,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2016,2232,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2017,2363,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2018,2511,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2019,2492,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2020,2030,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2021,2195,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2022,2265,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,France,2023,2517,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2014,182,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2015,160,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2016,116,,
ESTAT:CRIM_PRIS_AGE(1.0),23/04/25 11:00:00,Annual,Adult,Females,Number,Croatia,2017,141,,
