Age class,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,area_km2,population_year, Total ,PerHundred,Gender_index,is_eu_avg
Total,Males,BGR,Bulgaria,2016,110994,6894139,7117,103.23,0.726,0
Total,Total,BGR,Bulgaria,2016,110994,6894139,7345,106.54,0.726,0
Total,Females,BGR,Bulgaria,2015,110994,6984225,246,3.52,0.722,0
Total,Males,BGR,Bulgaria,2015,110994,6984225,7162,102.55,0.722,0
Total,Total,BGR,Bulgaria,2015,110994,6984225,7408,106.07,0.722,0
Total,Females,BGR,Bulgaria,2023,110994,6446596,228,3.54,0.715,0
Total,Males,BGR,Bulgaria,2023,110994,6446596,5298,82.18,0.715,0
Total,Total,BGR,Bulgaria,2023,110994,6446596,5526,85.72,0.715,0
Total,Females,HRV,Croatia,2021,56594,3878981,207,5.34,0.733,0
Total,Females,HRV,Croatia,2022,56594,3855641,219,5.68,0.733,0
Total,Males,HRV,Croatia,2021,56594,3878981,3698,95.33,0.733,0
Total,Males,HRV,Croatia,2022,56594,3855641,3872,100.42,0.733,0
Total,Total,HRV,Croatia,2021,56594,3878981,3905,100.67,0.733,0
Total,Total,HRV,Croatia,2022,56594,3855641,4091,106.1,0.733,0
Total,Females,HRV,Croatia,2023,56594,3859686,226,5.86,0.73,0
Total,Males,HRV,Croatia,2023,56594,3859686,4219,109.31,0.73,0
Total,Total,HRV,Croatia,2023,56594,3859686,4445,115.16,0.73,0
Total,Females,HRV,Croatia,2020,56594,3914206,188,4.8,0.72,0
Total,Males,HRV,Croatia,2020,56594,3914206,3343,85.41,0.72,0
Total,Total,HRV,Croatia,2020,56594,3914206,3531,90.21,0.72,0
Total,Females,HRV,Croatia,2019,56594,3949390,194,4.91,0.716,0
Total,Males,HRV,Croatia,2019,56594,3949390,3339,84.54,0.716,0
Total,Total,HRV,Croatia,2019,56594,3949390,3533,89.46,0.716,0
Total,Females,HRV,Croatia,2018,56594,3988775,170,4.26,0.712,0
Total,Males,HRV,Croatia,2018,56594,3988775,3047,76.39,0.712,0
Total,Total,HRV,Croatia,2018,56594,3988775,3217,80.65,0.712,0
Total,Females,HRV,Croatia,2017,56594,4041407,147,3.64,0.711,0
Total,Males,HRV,Croatia,2017,56594,4041407,3043,75.3,0.711,0
Total,Total,HRV,Croatia,2017,56594,4041407,3190,78.93,0.711,0
Total,Females,HRV,Croatia,2015,56594,4151725,164,3.95,0.708,0
Total,Males,HRV,Croatia,2015,56594,4151725,3177,76.52,0.708,0
Total,Total,HRV,Croatia,2015,56594,4151725,3341,80.47,0.708,0
Total,Females,HRV,Croatia,2014,56594,4201598,190,4.52,0.7075,0
Total,Males,HRV,Croatia,2014,56594,4201598,3573,85.04,0.7075,0
Total,Total,HRV,Croatia,2014,56594,4201598,3763,89.56,0.7075,0
Total,Females,HRV,Croatia,2016,56594,4106867,123,2.99,0.7,0
