Age class,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,area_km2,population_year, Total ,PerHundred,Gender_index,is_eu_avg
Total,Males,SVK,Slovakia,2021,49035,5447247,9353,171.7,0.712,0
Total,Total,SVK,Slovakia,2021,49035,5447247,10104,185.49,0.712,0
Total,Females,SVK,Slovakia,2019,49035,5454147,785,14.39,0.7055,0
Total,Males,SVK,Slovakia,2019,49035,5454147,9770,179.13,0.7055,0
Total,Total,SVK,Slovakia,2019,49035,5454147,10555,193.52,0.7055,0
Total,Females,SVK,Slovakia,2017,49035,5439232,716,13.16,0.694,0
Total,Males,SVK,Slovakia,2017,49035,5439232,9312,171.2,0.694,0
Total,Total,SVK,Slovakia,2017,49035,5439232,10028,184.36,0.694,0
Total,Females,SVK,Slovakia,2018,49035,5446771,772,14.17,0.693,0
Total,Males,SVK,Slovakia,2018,49035,5446771,9522,174.82,0.693,0
Total,Total,SVK,Slovakia,2018,49035,5446771,10294,188.99,0.693,0
Total,Females,SVK,Slovakia,2014,49035,5418649,614,11.33,0.6806,0
Total,Males,SVK,Slovakia,2014,49035,5418649,9406,173.59,0.6806,0
Total,Total,SVK,Slovakia,2014,49035,5418649,10020,184.92,0.6806,0
Total,Females,SVK,Slovakia,2016,49035,5430798,673,12.39,0.679,0
Total,Males,SVK,Slovakia,2016,49035,5430798,9322,171.65,0.679,0
Total,Total,SVK,Slovakia,2016,49035,5430798,9995,184.04,0.679,0
Total,Females,SVK,Slovakia,2015,49035,5423801,631,11.63,0.675,0
Total,Males,SVK,Slovakia,2015,49035,5423801,9282,171.13,0.675,0
Total,Total,SVK,Slovakia,2015,49035,5423801,9913,182.77,0.675,0
Total,Females,SVN,Slovenia,2016,20271,2065042,104,5.04,0.786,0
Total,Males,SVN,Slovenia,2016,20271,2065042,1204,58.3,0.786,0
Total,Total,SVN,Slovenia,2016,20271,2065042,1308,63.34,0.786,0
Total,Females,SVN,Slovenia,2015,20271,2063531,81,3.93,0.784,0
Total,Females,SVN,Slovenia,2018,20271,2073894,81,3.91,0.784,0
Total,Males,SVN,Slovenia,2015,20271,2063531,1318,63.87,0.784,0
Total,Males,SVN,Slovenia,2018,20271,2073894,1265,61.0,0.784,0
Total,Total,SVN,Slovenia,2015,20271,2063531,1399,67.8,0.784,0
Total,Total,SVN,Slovenia,2018,20271,2073894,1346,64.9,0.784,0
Total,Males,SVN,Slovenia,2017,20271,2073894,1219,58.77,0.805,0
Total,Females,SVN,Slovenia,2017,20271,2073894,97,4.68,0.805,0
Total,Total,SVN,Slovenia,2017,20271,2073894,1316,63.45,0.805,0
Total,Females,SVN,Slovenia,2023,20271,2120461,79,3.73,0.773,0
Total,Males,SVN,Slovenia,2023,20271,2120461,1359,64.09,0.773,0
Total,Total,SVN,Slovenia,2023,20271,2120461,1438,67.82,0.773,0
Total,Females,SVN,Slovenia,2019,20271,2088385,76,3.64,0.7635000000000001,0
Total,Males,SVN,Slovenia,2019,20271,2088385,1320,63.21,0.7635000000000001,0
Total,Total,SVN,Slovenia,2019,20271,2088385,1396,66.85,0.7635000000000001,0
Total,Females,SVN,Slovenia,2014,20271,2061980,89,4.32,0.7443,0
Total,Males,SVN,Slovenia,2014,20271,2061980,1433,69.5,0.7443,0
Total,Total,SVN,Slovenia,2014,20271,2061980,1522,73.81,0.7443,0
Total,Females,SVN,Slovenia,2022,20271,2112076,74,3.5,0.744,0
Total,Males,SVN,Slovenia,2022,20271,2112076,1306,61.83,0.744,0
Total,Total,SVN,Slovenia,2022,20271,2112076,1380,65.34,0.744,0
Total,Females,SVN,Slovenia,2020,20271,2102419,69,3.28,0.743,0
Total,Males,SVN,Slovenia,2020,20271,2102419,1380,65.64,0.743,0
Total,Total,SVN,Slovenia,2020,20271,2102419,1449,68.92,0.743,0
Total,Females,SVN,Slovenia,2021,20271,2108079,56,2.66,0.741,0
Total,Males,SVN,Slovenia,2021,20271,2108079,1080,51.23,0.741,0
Total,Total,SVN,Slovenia,2021,20271,2108079,1136,53.89,0.741,0
Total,Females,ESP,Spain,2020,505990,47359424,4015,8.48,0.795,0
Total,Males,ESP,Spain,2020,505990,47359424,51165,108.04,0.795,0
Total,Total,ESP,Spain,2020,505990,47359424,55180,116.51,0.795,0
Total,Females,ESP,Spain,2023,505990,48352528,4000,8.27,0.791,0
Total,Males,ESP,Spain,2023,505990,48352528,52698,108.99,0.791,0
Total,Total,ESP,Spain,2023,505990,48352528,56698,117.26,0.791,0
Total,Females,ESP,Spain,2021,505990,47443821,3925,8.27,0.788,0
Total,Females,ESP,Spain,2022,505990,47786102,3971,8.31,0.788,0
Total,Males,ESP,Spain,2021,505990,47443821,51172,107.86,0.788,0
Total,Males,ESP,Spain,2022,505990,47786102,51780,108.36,0.788,0
Total,Total,ESP,Spain,2021,505990,47443821,55097,116.13,0.788,0
Total,Total,ESP,Spain,2022,505990,47786102,55751,116.67,0.788,0
Total,Females,ESP,Spain,2019,505990,47118501,4373,9.28,0.7705,0
Total,Males,ESP,Spain,2019,505990,47118501,54144,114.91,0.7705,0
Total,Total,ESP,Spain,2019,505990,47118501,58517,124.19,0.7705,0
Total,Females,ESP,Spain,2017,505990,46571232,4362,9.37,0.746,0
Total,Females,ESP,Spain,2018,505990,46782011,4434,9.48,0.746,0
Total,Males,ESP,Spain,2017,505990,46571232,54447,116.91,0.746,0
Total,Males,ESP,Spain,2018,505990,46782011,54449,116.39,0.746,0
Total,Total,ESP,Spain,2017,505990,46571232,58812,126.28,0.746,0
Total,Total,ESP,Spain,2018,505990,46782011,58883,125.87,0.746,0
Total,Females,ESP,Spain,2015,505990,46422303,4658,10.03,0.742,0
Total,Males,ESP,Spain,2015,505990,46422303,55737,120.07,0.742,0
Total,Total,ESP,Spain,2015,505990,46422303,61614,132.72,0.742,0
Total,Females,ESP,Spain,2016,505990,46458139,4390,9.45,0.738,0
Total,Males,ESP,Spain,2016,505990,46458139,53971,116.17,0.738,0
Total,Total,ESP,Spain,2016,505990,46458139,59589,128.26,0.738,0
Total,Females,ESP,Spain,2014,505990,46460733,4911,10.57,0.7325,0
Total,Males,ESP,Spain,2014,505990,46460733,58798,126.55,0.7325,0
Total,Total,ESP,Spain,2014,505990,46460733,65017,139.94,0.7325,0
Total,Females,SWE,Sweden,2015,450295,9799186,327,3.34,0.823,0
Total,Females,SWE,Sweden,2021,450295,10415811,457,4.39,0.823,0
Total,Males,SWE,Sweden,2015,450295,9799186,5364,54.74,0.823,0
Total,Males,SWE,Sweden,2021,450295,10415811,7319,70.27,0.823,0
Total,Total,SWE,Sweden,2015,450295,9799186,5691,58.08,0.823,0
Total,Total,SWE,Sweden,2021,450295,10415811,7776,74.66,0.823,0
Total,Females,SWE,Sweden,2018,450295,10175214,345,3.39,0.822,0
Total,Females,SWE,Sweden,2022,450295,10486941,530,5.05,0.822,0
Total,Males,SWE,Sweden,2018,450295,10175214,5769,56.7,0.822,0
Total,Males,SWE,Sweden,2022,450295,10486941,7884,75.18,0.822,0
Total,Total,SWE,Sweden,2018,450295,10175214,6114,60.09,0.822,0
Total,Total,SWE,Sweden,2022,450295,10486941,8414,80.23,0.822,0
Total,Females,SWE,Sweden,2019,450295,10278887,408,3.97,0.821,0
Total,Males,SWE,Sweden,2019,450295,10278887,6311,61.4,0.821,0
Total,Total,SWE,Sweden,2019,450295,10278887,6719,65.37,0.821,0
Total,Females,SWE,Sweden,2020,450295,10353442,438,4.23,0.82,0
Total,Males,SWE,Sweden,2020,450295,10353442,6859,66.25,0.82,0
Total,Total,SWE,Sweden,2020,450295,10353442,7297,70.48,0.82,0
Total,Females,SWE,Sweden,2014,450295,9696110,333,3.43,0.8165,0
Total,Males,SWE,Sweden,2014,450295,9696110,5474,56.46,0.8165,0
Total,Total,SWE,Sweden,2014,450295,9696110,5807,59.89,0.8165,0
Total,Females,SWE,Sweden,2017,450295,10057698,348,3.46,0.816,0
Total,Males,SWE,Sweden,2017,450295,10057698,5365,53.34,0.816,0
Total,Total,SWE,Sweden,2017,450295,10057698,5713,56.8,0.816,0
Total,Females,SWE,Sweden,2016,450295,9923085,346,3.49,0.815,0
Total,Females,SWE,Sweden,2023,450295,10536632,664,6.3,0.815,0
Total,Males,SWE,Sweden,2016,450295,9923085,5312,53.53,0.815,0
Total,Males,SWE,Sweden,2023,450295,10536632,9084,86.21,0.815,0
Total,Total,SWE,Sweden,2016,450295,9923085,5658,57.02,0.815,0
Total,Total,SWE,Sweden,2023,450295,10536632,9748,92.52,0.815,0
